Time;Heigth lance;Rate O2;H2;O2;CO;CO2;N2;Ar;V gas;T gas;C calculated;C sublance;Ignition;DecompressionOffGasEvent;QOxygen;POxygen;TOxygen;DeltaPOxygen;QNitrogenLanceWindow;QNitrogenBoiler;RB5;RB6;RB7;RB8;RB9;RB10;RB11;RB12;NeuralC
19.10.2012 15:10:10;481;1210,14300537109;1,27;0,39;20,8;25,65;51,2;0,68;378359,390625;51;3,08836297810351;0;0;-1742;1211,88488769531;18,1187210083008;15,5364151000977;705,709991455078;3253;6345;0;0;311;4008;3980;0;1504;0;0,0317557061694916
19.10.2012 15:10:11;481;1209,89575195313;1,31;0,38;22,13;25,35;50,16;0,67;377782,40625;51;3,08728830612727;0;0;-1731;1208,64050292969;18,1245079040527;15,5364151000977;701,948516845703;3248;6340;0;0;311;4008;3980;0;1504;0;0,0326092008686325
19.10.2012 15:10:12;481;1211,86730957031;1,32;0,38;22,99;25,38;49,28;0,65;376521,703125;51;3,0860673659383;0;0;-1725;1209,61730957031;18,1476554870605;15,5364151000977;702,237854003906;3225;6320;0;0;311;4008;3980;0;1504;0;0,0334248998312243
19.10.2012 15:10:13;481;1200,48193359375;1,39;0,36;24,29;24,9;48,41;0,65;375961,09375;52;3,0847664880952;0;0;-1717;1202,74188232422;18,1592292785645;15,5364151000977;693,846893310547;3258;6352;0;0;311;4008;3980;0;1504;0;0,0344462265528828
19.10.2012 15:10:14;481;1210,67645263672;1,4;0,37;25,89;24,71;47,01;0,63;375584,3125;52;3,08326065429565;0;0;-1712;1211,17626953125;18,1650161743164;15,5364151000977;703,395233154297;3295;6387;0;0;311;4008;3980;0;1504;0;0,0353725805040573
19.10.2012 15:10:15;481;1205,99334716797;1,42;0,35;27,06;24,44;46,1;0,63;375999,46875;52;3,08167994065902;0;0;-1704;1205,99334716797;18,1592292785645;15,5364151000977;695,582946777344;3296;6388;0;0;311;4008;3980;0;1504;0;0,0364557391323804
19.10.2012 15:10:16;481;1201,59521484375;1,575;0,325;29,445;23,72;44,335;0,6;374208,3125;52;3,08002418108208;0;0;-1699;1201,59521484375;18,1708030700684;15,5364151000977;694,136199951172;3304;6398;0;0;311;4008;3980;0;1504;0;0,0374539099348808
19.10.2012 15:10:17;481;1216,82672119141;1,57;0,29;30,67;23,68;43,21;0,58;374027,78125;52;3,0781965699632;0;0;-1693;1217,01049804688;18,1765899658203;15,5364151000977;712,364898681641;3246;6341;0;0;311;4008;3980;0;1504;0;0,0386554385446653
19.10.2012 15:10:18;481;1215,88299560547;1,54;0,28;30,8;23,85;42,95;0,58;372591,890625;52;3,07623713155584;0;0;-1685;1214,07983398438;18,1939506530762;15,5364151000977;705,7099609375;3261;6356;0;0;311;4008;3980;0;1504;0;0,039871542744905
19.10.2012 15:10:19;481;1211,81756591797;1,54;0,28;31,09;23,98;42,54;0,58;373460,84375;52;3,0741566702545;0;0;-1679;1212,07116699219;18,217098236084;15,5364151000977;702,527191162109;3231;6328;0;0;311;4008;3980;0;1504;0;0,0404551867588812
19.10.2012 15:10:20;481;1215,56091308594;1,5;0,27;31,36;24,11;42,19;0,58;375305,015625;52;3,07189006286613;0;0;-1674;1220,52593994141;18,217098236084;15,5364151000977;712,364868164063;3273;6368;0;0;311;4008;3980;0;1504;0;0,0418122341182487
